,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_cat,Marital_cat,Gender_cat,Churn_cat
0,Urban,0,68,28561.99,Widowed,Male,No,7.978322947,1,6.795512947,172.455519,904.5361102,2,4,1,0
1,Urban,1,27,21704.77,Married,Female,Yes,11.69907956,1,1.156680997,242.632554,800.9827661,2,1,0,1
2,Urban,4,50,9609.57,Widowed,Female,No,10.75280028,1,15.75414408,159.947583,2054.706961,2,4,0,0
3,Suburban,1,48,18925.23,Married,Male,No,14.91353964,0,17.08722662,119.95684,2164.579412,1,1,1,0
4,Suburban,0,83,40074.19,Separated,Male,Yes,8.147416533,1,1.670971726,149.948316,271.4934362,1,3,1,1
5,Urban,3,83,22660.2,Never Married,Female,No,8.420992898,1,7.000993555,185.007692,1039.357983,2,2,0,0
6,Suburban,0,79,11467.5,Widowed,Male,Yes,11.18272453,1,13.23677381,200.118516,1907.242972,1,4,1,1
7,Suburban,2,30,26759.64,Married,Female,Yes,7.791632265,0,4.26425515,114.950905,979.6127078,1,1,0,1
8,Suburban,2,49,58634.51,Separated,Nonbinary,No,5.739005915,3,8.220686373,117.468591,1312.874964,1,3,2,0
9,Rural,1,86,50231.4,Married,Female,No,8.707823904,0,3.422086139,162.482694,508.7637913,0,1,0,0
10,Urban,7,23,22580.7,Separated,Female,No,9.341631685,2,19.26726194,174.958118,2728.767869,2,3,0,0
11,Rural,2,56,18342.12,Married,Female,No,6.68082638,1,10.52199781,149.962093,1180.588788,0,1,0,0
12,Rural,0,83,83671.08,Divorced,Male,No,8.273875452,0,13.01149229,137.439154,1196.388018,0,0,1,0
13,Urban,5,29,115114.57,Separated,Female,No,5.880565591,0,16.87922024,184.971516,1948.694497,2,3,0,0
14,Urban,1,30,64256.81,Separated,Male,Yes,11.79073041,0,10.06019902,159.965581,1582.295235,2,3,1,1
15,Suburban,3,39,89061.45,Divorced,Male,Yes,10.79846973,0,13.87001293,177.65076,1840.014467,1,0,1,1
16,Urban,0,63,31659.3,Married,Female,Yes,13.52284721,0,15.78214958,194.966286,2070.376729,2,1,0,1
17,Rural,2,60,44142.81,Separated,Male,Yes,9.831166695,0,2.303331273,202.682861,882.0985933,0,3,1,1
18,Rural,3,61,39262.14,Widowed,Female,No,9.57470568,0,17.10995632,152.490739,1833.0967,0,4,0,0
19,Rural,3,23,19494.75,Divorced,Male,Yes,10.92246098,0,12.80615845,149.944668,1954.080809,0,0,1,1
20,Rural,4,38,39624.21,Never Married,Male,No,12.06889188,3,20.45390977,184.978458,2330.319383,0,2,1,0
21,Suburban,3,30,45714.47,Divorced,Male,No,6.984819996,0,2.415991977,127.495766,594.1054279,1,0,1,0
22,Urban,3,52,27442.03,Widowed,Male,No,9.372975594,1,6.652298992,124.964303,713.0633088,2,4,1,0
23,Urban,2,68,79699.62,Divorced,Male,No,7.109002592,0,8.543717478,149.948316,945.3802928,2,0,1,0
24,Rural,3,75,28520.32,Widowed,Female,Yes,13.74777955,0,5.770390256,162.511928,870.76398,0,4,0,1
25,Suburban,1,77,12558.83,Separated,Male,Yes,9.767668044,0,4.157658837,92.455141,774.2937069,1,3,1,1
